Forecast_Cd,Forecast_Name,fecha,mth,dia_sem,dia_sem_txt,cierre_tj,Cant_Trx,flag_tj_vto,flag_tv_vto,flag_tm_vto,flag_tj_cierre,flag_tv_cierre,flag_tm_cierre
500,MOBILE,1/31/2012,201201,3,MAR,0,2273,,,,,,
301,QDB,1/31/2012,201201,3,MAR,0,21321,,,,,,
100,SUCURSALES,1/31/2012,201201,3,MAR,0,49581,,,,,,
302,TAS,1/31/2012,201201,3,MAR,0,0,,,,,,
701,TS,1/31/2012,201201,3,MAR,0,0,,,,,,
602,ACCESS BANKING,2/1/2012,201202,4,MIE,0,361504,,,,,,
400,ATM,2/1/2012,201202,4,MIE,0,87382,,,,,,
601,CONNECTION BANKING,2/1/2012,201202,4,MIE,0,57294,,,,,,
201,HOLA OPERADOR,2/1/2012,201202,4,MIE,0,9802,,,,,,
202,IVR,2/1/2012,201202,4,MIE,0,18309,,,,,,
500,MOBILE,2/1/2012,201202,4,MIE,0,2195,,,,,,
301,QDB,2/1/2012,201202,4,MIE,0,23594,,,,,,
100,SUCURSALES,2/1/2012,201202,4,MIE,0,47315,,,,,,
302,TAS,2/1/2012,201202,4,MIE,0,0,,,,,,
701,TS,2/1/2012,201202,4,MIE,0,0,,,,,,
602,ACCESS BANKING,2/2/2012,201202,5,JUE,0,295863,,,,,,
400,ATM,2/2/2012,201202,5,JUE,0,80740,,,,,,
601,CONNECTION BANKING,2/2/2012,201202,5,JUE,0,49072,,,,,,
201,HOLA OPERADOR,2/2/2012,201202,5,JUE,0,9836,,,,,,
202,IVR,2/2/2012,201202,5,JUE,0,13779,,,,,,
500,MOBILE,2/2/2012,201202,5,JUE,0,1718,,,,,,
301,QDB,2/2/2012,201202,5,JUE,0,24924,,,,,,
100,SUCURSALES,2/2/2012,201202,5,JUE,0,47885,,,,,,
302,TAS,2/2/2012,201202,5,JUE,0,0,,,,,,
701,TS,2/2/2012,201202,5,JUE,0,0,,,,,,
602,ACCESS BANKING,2/3/2012,201202,6,VIE,0,277383,,,,,,
400,ATM,2/3/2012,201202,6,VIE,0,90616,,,,,,
601,CONNECTION BANKING,2/3/2012,201202,6,VIE,0,50605,,,,,,
201,HOLA OPERADOR,2/3/2012,201202,6,VIE,0,9647,,,,,,
202,IVR,2/3/2012,201202,6,VIE,0,15640,,,,,,
500,MOBILE,2/3/2012,201202,6,VIE,0,1887,,,,,,
301,QDB,2/3/2012,201202,6,VIE,0,13274,,,,,,
100,SUCURSALES,2/3/2012,201202,6,VIE,0,67595,,,,,,
302,TAS,2/3/2012,201202,6,VIE,0,0,,,,,,
701,TS,2/3/2012,201202,6,VIE,0,0,,,,,,
602,ACCESS BANKING,2/4/2012,201202,7,SAB,0,118237,,,,,,
400,ATM,2/4/2012,201202,7,SAB,0,77615,,,,,,
601,CONNECTION BANKING,2/4/2012,201202,7,SAB,0,24,,,,,,
201,HOLA OPERADOR,2/4/2012,201202,7,SAB,0,5,,,,,,
202,IVR,2/4/2012,201202,7,SAB,0,0,,,,,,
500,MOBILE,2/4/2012,201202,7,SAB,0,1829,,,,,,
301,QDB,2/4/2012,201202,7,SAB,0,0,,,,,,
100,SUCURSALES,2/4/2012,201202,7,SAB,0,0,,,,,,
302,TAS,2/4/2012,201202,7,SAB,0,0,,,,,,
701,TS,2/4/2012,201202,7,SAB,0,0,,,,,,
602,ACCESS BANKING,2/5/2012,201202,1,DOM,0,87915,,,,,,
400,ATM,2/5/2012,201202,1,DOM,0,36707,,,,,,
601,CONNECTION BANKING,2/5/2012,201202,1,DOM,0,29,,,,,,
201,HOLA OPERADOR,2/5/2012,201202,1,DOM,0,0,,,,,,
202,IVR,2/5/2012,201202,1,DOM,0,0,,,,,,
500,MOBILE,2/5/2012,201202,1,DOM,0,1014,,,,,,
301,QDB,2/5/2012,201202,1,DOM,0,0,,,,,,
100,SUCURSALES,2/5/2012,201202,1,DOM,0,0,,,,,,
302,TAS,2/5/2012,201202,1,DOM,0,0,,,,,,
701,TS,2/5/2012,201202,1,DOM,0,0,,,,,,
602,ACCESS BANKING,2/6/2012,201202,2,LUN,0,432442,,,,,,
400,ATM,2/6/2012,201202,2,LUN,0,96331,,,,,,
601,CONNECTION BANKING,2/6/2012,201202,2,LUN,0,58535,,,,,,
201,HOLA OPERADOR,2/6/2012,201202,2,LUN,0,14291,,,,,,
202,IVR,2/6/2012,201202,2,LUN,0,28212,,,,,,
500,MOBILE,2/6/2012,201202,2,LUN,0,1673,,,,,,
301,QDB,2/6/2012,201202,2,LUN,0,36821,,,,,,
100,SUCURSALES,2/6/2012,201202,2,LUN,0,59124,,,,,,
302,TAS,2/6/2012,201202,2,LUN,0,0,,,,,,
701,TS,2/6/2012,201202,2,LUN,0,0,,,,,,
602,ACCESS BANKING,2/7/2012,201202,3,MAR,0,290609,,,,,,
400,ATM,2/7/2012,201202,3,MAR,0,90657,,,,,,
601,CONNECTION BANKING,2/7/2012,201202,3,MAR,0,47403,,,,,,
